what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408774202736
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408774277816
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1408774282044
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1408774282335
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1408774282806
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1408774285233
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1408774288260
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1408774291844
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408774295668
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408774304020
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408774304534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408774315028
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1408774316374
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1408774316873
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408774317626
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408774319933
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408774398365
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408774409664
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1408774431641
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408774432058
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408774432530
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408774438862
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408774439852
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408774443421
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1408774447261
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1408774447383
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408774448609
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408774449368
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408774476755
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408774498327
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408774506225
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408774506460
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408774507192
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408774529414
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1408774533454
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408774538145
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408774539147
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408774541438
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408774541946
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408774550176
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408774557219
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408774557860
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408774600722
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1408774612443
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408774613223
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408774613731
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408774638259
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1408774654904
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1408774683534
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408774689524
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408774691651
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1408774696521
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1408774719297
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408774722177
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1408774723653
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1408774727250
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408774735277
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408774739208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408774742141
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408774763560
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1408774766534
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408774768611
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408774785797
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1408774785820
started,bundle,com.google.gwt.eclipse.core,3.5.1.v201312301719-rel-r37,"com.google.gwt.eclipse.core",1408774786038
opened,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1408774786494
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1408774786561
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1408774789477
opened,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1408774789759
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1408774789923
