what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409592386089
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1409592388439
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1409592392386
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1409592393939
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1409592395531
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1409592395743
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1409592396440
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409592399373
error,log,,,"Unexpected runtime error while computing a text hover",1409592411081
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1409592413112
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1409592415455
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1409592417393
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1409592419225
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409592420979
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409592421936
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409592442634
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409592442983
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409592463608
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409593078800
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409593212816
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409593215078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409593215821
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409593230139
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409593239983
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409593240982
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409593677800
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409593685020
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409593690878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409593693001
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409593717734
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409593720775
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409593728806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409593730648
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409593737884
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409593739976
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409593741503
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409594079882
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1409594083105
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409594084380
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409594095337
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1409594439415
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1409594441741
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1409594445040
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1409594446428
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1409594447168
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1409594448272
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409594452474
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409594456923
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1409594459433
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1409594460977
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1409594463388
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1409594469735
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1409594471401
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409594472883
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409594474592
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409594478124
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409594479275
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409601294445
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409601308223
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409601370752
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409601393050
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409601395602
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409602186716
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409602189375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409602200445
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409602324344
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409602341738
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409602346016
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409602349918
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1409602433844
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409602438054
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409602440650
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409602454310
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409602476322
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409602477830
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409602491049
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1409602515145
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1409602517963
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409602520128
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409602520836
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409602546764
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409602556078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409602556798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409602675495
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1409602679879
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1409602681646
executed,command,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.edit.text.java.format",1409602689201
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1409602692345
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409602711879
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409602718428
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409602722427
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409602725076
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409602743856
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1409602750433
