what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1410570042968
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1410570059183
opened,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1410570059482
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1410570059585
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410570061313
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410570100733
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410570151665
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410570169416
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410570209895
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410570354796
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410570365255
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410570376853
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410570378660
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410570388570
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410570391587
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410570395084
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410570396959
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410570414425
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410570416548
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410570426552
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410570434566
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410570435283
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410570443110
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410570444527
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410570445090
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410570478576
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410570486947
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410570518056
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410570521202
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410570522484
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410570525243
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410570526451
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410570528611
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410570529565
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410570538260
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410570553215
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410570558051
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410570563745
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410570601122
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410570634787
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410570640762
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410570645816
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410570648515
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410570666487
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410570674848
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1410570676923
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1410570677095
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1410570677485
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1410570678296
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1410570680620
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410570682211
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410570720307
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410570723723
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410570738574
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410570744128
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410570756998
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410570779540
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410570954588
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410570969127
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410571016161
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410571016926
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410571021481
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410571032728
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410571043555
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410571157201
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410571178230
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410571207776
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410571211551
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410571240068
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410571391030
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410571400452
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410571444023
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410571449280
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410571554487
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1410571563363
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410571567170
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410571597122
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410571605390
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410571631863
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410571644842
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410571654514
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410571693889
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410571711205
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1410571740658
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410571747631
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410571794899
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410571943211
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410571970058
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410572010544
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1410572012452
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1410572015049
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410572018105
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410572091775
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410572092320
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410572140505
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410572141361
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410572142584
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410572142948
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410572217357
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1410572308213
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410572314441
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1410572342358
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1410572342372
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410572343941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410572343959
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1410572370947
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1410572389627
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1410572391719
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1410572394175
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410572394597
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1410572401164
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1410572403373
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410572403755
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410572433102
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410572504201
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410572532206
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410572542264
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410572595627
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410572609554
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410572617568
