what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411019950333
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411019950744
started,bundle,org.eclipse.mylyn.java.tasks,3.8.2.v20120916-1200,"org.eclipse.mylyn.java.tasks",1411019950856
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1411019951034
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411019951164
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411019952552
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411020064337
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411020094817
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411020095605
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411020116561
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411020174810
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411020175404
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411020175947
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411020176278
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411020176542
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411020176986
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411020177373
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411020177914
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411020178403
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411020178866
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411020179475
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411020179821
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411020180290
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411020180798
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411020182209
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411020215727
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411020253563
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411020301809
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411020304633
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411020337029
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411020338219
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411020393251
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411020432193
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411020458388
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411020459775
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411020485544
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1411020598475
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1411020598621
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1411020598966
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1411020599602
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1411020601754
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1411020604202
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411020605245
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411020610860
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411020620015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411020624970
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411020626641
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411020628526
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411020673444
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411020688222
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411020688976
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411020714808
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411020748323
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411020750038
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411020757269
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411020761814
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411020769253
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411020777508
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411020779106
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411020814563
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411020850286
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411020852871
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411020913002
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411020917504
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411021067549
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411021074524
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411021110869
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411021115740
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411021116377
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411021117760
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411021121042
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411021121550
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411021122493
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411021122963
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411021123622
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411021124163
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411021125978
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1411021134841
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1411021138261
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1411021145194
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411021146568
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1411021149680
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411021159124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411021162520
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411021165059
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411021191689
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411021198184
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411021199384
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411021216713
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1411021241533
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411021243907
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411021245475
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411021260020
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1411021271381
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1411021280876
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1411021282031
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411021292726
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411021294366
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411021347388
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1411021358839
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1411021359835
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1411021360501
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411021364099
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411021368165
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411021369156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411021401595
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411021479497
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411021480404
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411021480688
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411021480882
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411021481130
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411021481246
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411021481502
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411021481606
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411021481784
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411021481989
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411021482191
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1411021482486
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411021492731
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411021494685
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411021495909
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411021529463
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411021548873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411021761322
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411021776108
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1411021997913
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1411021999094
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1411021999689
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411022003599
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411022021192
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411022097115
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411022201840
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411022304996
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411022306039
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411022318744
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.add.block.comment",1411022348131
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411022349133
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1411022371793
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1411022374402
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1411022376955
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1411022379694
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1411022384140
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1411022384346
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1411022384543
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1411022384904
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1411022385756
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411022386057
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1411022399507
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1411022402102
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411022408008
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1411022417484
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411022418707
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1411022425802
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411022426286
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1411022443175
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411022445265
